modelColorSpace,modelName,,RMSE,Rsquared,MAE
sRGB,quantileRandomForest,,9.406976397,0.935053162,6.597405318
YIQ,randomForest,,10.23110792,0.926618317,8.031693665
YCbCr,quantileRandomForest,,10.26842762,0.925760889,7.783479132
YCbCr,randomForest,,10.31786575,0.929012919,7.653025855
Lab,bayesisanNeuralNetwork,,10.4366581,0.932302041,7.908733834
sRGB,stochasticGradientBoosting,,10.62189665,0.921927838,7.943349197
YIQ,bayesisanNeuralNetwork,,10.6559183,0.929587654,7.866900148
YCbCr,bayesisanNeuralNetwork,,10.67936964,0.92988871,7.758584545
sRGB,randomForest,,10.71344429,0.921933383,7.205403364
sRGB,bayesisanNeuralNetwork,,10.85601508,0.926288426,7.762713889
YIQ,quantileRandomForest,,10.88507553,0.913777937,8.623643761
sRGB,cubist,,10.90274371,0.926736395,7.626976935
Lab,quantileRandomForest,,10.97484144,0.911966119,8.602655804
YIQ,cubist,,10.98694874,0.911999719,8.435236441
sRGB,svmRadialSigma,,11.00205636,0.917134161,7.271382888
Lab,randomForest,,11.11288491,0.912350034,8.155277713
YIQ,stochasticGradientBoosting,,11.22778937,0.90831577,9.462432167
YCbCr,stochasticGradientBoosting,,11.56198934,0.911580033,6.506207849
YCbCr,svmRadialSigma,,11.62360358,0.910258471,7.841432161
HSV,bayesisanNeuralNetwork,,11.63816179,0.905434447,8.442348858
Lab,svmRadialSigma,,11.70293277,0.915710319,8.2479125
sRGB,svmRadial,,11.7193201,0.902135909,7.89143547
sRGB,gprPolynomial,,11.89418053,0.910578231,9.069305723
YCbCr,gprPolynomial,,11.99182195,0.906340799,9.116011806
Lab,svmRadial,,12.02621474,0.909999029,8.471801111
Lab,gprPolynomial,,12.04350197,0.907965339,9.515459114
Lab,svmPolynomial,,12.0500117,0.91468057,9.210112697
YCbCr,svmRadial,,12.29650284,0.893663705,8.066059703
YCbCr,cubist,,12.64259329,0.88827675,8.212690927
YCbCr,svmPolynomial,,12.64552147,0.895096932,9.441176014
HSV,svmRadialSigma,,12.65235608,0.894174308,8.071903054
Lab,cubist,,12.85279982,0.88440872,8.443194553
Lab,stochasticGradientBoosting,,13.02600334,0.878216756,9.162572049
sRGB,svmPolynomial,,13.20287022,0.880013,9.394890765
YIQ,gprPolynomial,,13.54812163,0.876287046,10.22947435
YIQ,svmRadialSigma,,14.01723444,0.859697016,9.853257443
HSV,svmRadial,,14.57118039,0.859169943,8.514509615
YCbCr,gprRadial,,14.90278369,0.873145844,10.01128223
YIQ,svmPolynomial,,15.57855112,0.834652862,11.1280089
sRGB,gprRadial,,16.06288964,0.851428023,10.55447133
HSV,quantileRandomForest,,16.1836045,0.806069362,9.524727816
HSV,randomForest,,16.33168411,0.809206265,11.43544308
HSV,gprPolynomial,,16.61999354,0.810934342,11.21371563
HSV,cubist,,17.95731759,0.76122478,11.12888333
YIQ,gprRadial,,18.14434261,0.793037536,12.69777057
HSV,svmPolynomial,,18.46860904,0.794209587,11.22418706
YIQ,svmRadial,,19.23514308,0.758863104,12.33946319
HSV,stochasticGradientBoosting,,19.58383763,0.734728844,13.56012324
Lab,partialLeastSquaresGenLinear,,22.40328434,0.635870435,16.3533879
Lab,sparsePartialLeastSquares,,22.41209496,0.635602846,16.36904618
Lab,independentComponent,,22.41209496,0.635602846,16.36904618
Lab,linear,,22.41209496,0.635602846,16.36904618
Lab,linearPenalized,,22.51319436,0.62750228,16.33290446
Lab,leastAngle,,22.59670213,0.626233007,16.59809227
Lab,bayesianRidgeRegression,,22.7755427,0.622760411,16.79994327
Lab,partialLeastSquares,,23.00860738,0.613451462,16.52203088
Lab,svmRadialCost,,23.08927945,0.772649153,12.81941985
YCbCr,partialLeastSquares,,23.33444573,0.606452233,16.50736016
sRGB,partialLeastSquares,,23.33514239,0.605829727,16.49788065
YCbCr,svmRadialCost,,23.38341157,0.751810112,12.70889333
sRGB,sparsePartialLeastSquares,,23.53679149,0.599802969,16.93913893
sRGB,partialLeastSquaresGenLinear,,23.53679149,0.599802969,16.93913893
sRGB,linearPenalized,,23.55922353,0.59131912,16.94808485
sRGB,bayesianRidgeRegression,,23.56959531,0.596254366,16.95161303
sRGB,leastAngle,,23.58468724,0.593401735,16.97183613
sRGB,svmRadialCost,,23.59998601,0.750815388,12.54238038
YCbCr,linearPenalized,,23.62456135,0.588785958,17.0878388
HSV,partialLeastSquaresGenLinear,,23.81123183,0.59159563,18.03235866
sRGB,independentComponent,,23.84406498,0.58851444,17.4508114
YIQ,linearPenalized,,23.84457564,0.582912258,17.49868135
sRGB,principalComponentAnalysis,,23.8509475,0.588145647,17.45697408
YCbCr,independentComponent,,23.88541746,0.58954476,17.58587904
YIQ,linear,,23.88541746,0.58954476,17.58587904
YCbCr,linear,,23.88541746,0.58954476,17.58587904
sRGB,linear,,23.88541746,0.58954476,17.58587904
YIQ,independentComponent,,23.88541746,0.58954476,17.58587904
YIQ,partialLeastSquaresGenLinear,,23.88541746,0.58954476,17.58587904
YCbCr,sparsePartialLeastSquares,,23.88541746,0.58954476,17.58587904
Lab,principalComponentAnalysis,,23.892809,0.58262544,17.53442538
YIQ,leastAngle,,23.90752022,0.583399059,17.59715092
YCbCr,leastAngle,,23.92435834,0.581398005,17.63475027
Lab,gprRadial,,23.92831902,0.684381112,15.73726206
YCbCr,bayesianRidgeRegression,,24.13261564,0.57635935,17.90002579
YIQ,bayesianRidgeRegression,,24.31531714,0.569088259,18.2272974
HSV,sparsePartialLeastSquares,,24.34518636,0.581849252,18.62670622
HSV,independentComponent,,24.34518636,0.581849252,18.62670622
HSV,linear,,24.34518636,0.581849252,18.62670622
HSV,gprRadial,,24.36586142,0.59861598,13.98129277
HSV,linearPenalized,,24.38941726,0.576499726,18.41143656
HSV,leastAngle,,24.41012055,0.575138771,18.43829555
Lab,svmLinear,,24.56896177,0.620316276,14.84016115
HSV,bayesianRidgeRegression,,24.62459083,0.562067311,18.30607103
YCbCr,principalComponentAnalysis,,24.65460873,0.557024944,17.84515931
YCbCr,partialLeastSquaresGenLinear,,24.71167784,0.557731464,18.80218925
YIQ,sparsePartialLeastSquares,,24.71167784,0.557731464,18.80218925
HSV,partialLeastSquares,,24.92072168,0.563309513,18.92399292
YIQ,svmRadialCost,,25.04836249,0.679239053,13.90442497
sRGB,svmLinear,,25.12206241,0.61201873,14.8499494
YCbCr,svmLinear,,25.23644969,0.60386387,15.00508956
YIQ,svmLinear,,26.23350925,0.559685582,15.60434494
YIQ,partialLeastSquares,,26.63124568,0.483382258,20.97244655
YIQ,principalComponentAnalysis,,26.66344973,0.480554202,19.51436727
HSV,svmLinear,,27.02008381,0.566169847,15.84329224
HSV,svmRadialCost,,28.66606117,0.494922411,14.19253392
HSV,principalComponentAnalysis,,29.58807154,0.352628666,21.82347535
Lab,gprLinear,,56.7589265,0.629513695,52.03954015
YIQ,gprLinear,,57.21417196,0.581170356,51.83852727
YCbCr,gprLinear,,57.41638052,0.582591298,52.03818338
sRGB,gprLinear,,57.44515001,0.582575584,52.06830365
HSV,gprLinear,,60.41569227,0.569026921,55.35854474
